dataset,year,total,usd,non_usd,cap,non_cap,included
NL50,2010,1311910,1273678,38232,0,1311910,0
NL50,2011,1382417,1382417,0,0,1382417,1382417
NL50,2012,1431238,1431238,0,649982,781256,781256
NL50,2013,1723861,1658683,65178,426745,1297116,1231938
NL50,2014,1174317,1101575,72742,208,1174109,1101367
NL50,2015,1047006,981327,65679,0,1047006,981327
NL50,2016,1506327,1500390,5937,0,1506327,1500390
NL50,2017,1499047,1445607,53440,0,1499047,1445607
NL50,2018,1482781,1436119,46662,0,1482781,1436119
NL50,2019,1423765,1377308,46457,0,1423765,1377308
NL50,2020,1419012,1419012,0,0,1419012,1419012
NL50,2021,1442743,1423826,18917,0,1442743,1423826
NL50,2022,1520202,1508583,11619,0,1520202,1508583
NL50,2023,1492225,1476625,15600,0,1492225,1476625
NL50,2024,1406494,1406494,0,0,1406494,1406494
NL50,2025,1439863,1439863,0,0,1439863,1439863
NL200,2011,1136171,1136171,0,0,1136171,1136171
NL200,2012,1454698,1454698,0,570293,884405,884405
NL200,2013,1564813,1496606,68207,686156,878657,810450
NL200,2014,1502009,1417370,84639,452264,1049745,965106
NL200,2015,1428381,1300284,128097,0,1428381,1300284
NL200,2016,1324085,1323665,420,0,1324085,1323665
NL200,2017,1297937,1205736,92201,0,1297937,1205736
NL200,2018,1351257,1246390,104867,0,1351257,1246390
NL200,2019,1062286,1004630,57656,0,1062286,1004630
NL200,2020,1360948,1360948,0,0,1360948,1360948
NL200,2021,1378412,1361004,17408,0,1378412,1361004
NL200,2022,1332334,1312917,19417,0,1332334,1312917
NL200,2023,1309383,1306708,2675,0,1309383,1306708
NL200,2024,1266026,1266026,0,0,1266026,1266026
NL200,2025,1391831,1391831,0,0,1391831,1391831
NL5K,2011,2563896,2563896,0,2235949,327947,327947
NL5K,2012,1269336,1269336,0,940476,328860,328860
NL5K,2013,1290929,1290929,0,586478,704451,704451
NL5K,2014,919758,919758,0,299638,620120,620120
NL5K,2015,448774,448774,0,0,448774,448774
NL5K,2016,320283,320283,0,0,320283,320283
NL5K,2017,314295,314295,0,0,314295,314295
NL5K,2018,244475,244475,0,0,244475,244475
NL5K,2019,171269,171269,0,0,171269,171269
NL5K,2020,183977,183977,0,0,183977,183977
NL5K,2021,80393,80393,0,0,80393,80393
NL5K,2022,23685,23685,0,0,23685,23685
NL5K,2023,36933,36933,0,0,36933,36933
NL5K,2024,38646,38646,0,0,38646,38646
NL5K,2025,43006,43006,0,0,43006,43006
