dataset,year_month,included_hands,total_hands
NL200,2011-01,1136171,1136171
NL200,2012-01,884405,1454698
NL200,2013-01,810450,1564813
NL200,2013-12,1482,1835
NL200,2014-01,963624,1500174
NL200,2014-12,956,956
NL200,2015-01,847589,927770
NL200,2015-02,451739,499655
NL200,2015-12,848,848
NL200,2016-01,620173,620482
NL200,2016-02,420571,420682
NL200,2016-03,282073,282073
NL200,2016-12,565,633
NL200,2017-01,632685,682637
NL200,2017-02,572486,614667
NL200,2017-12,676,727
NL200,2018-01,588341,633291
NL200,2018-02,590375,643056
NL200,2018-03,66998,74183
NL200,2018-12,456,456
NL200,2019-01,502068,537442
NL200,2019-02,429829,450528
NL200,2019-03,72277,73860
NL200,2019-12,1362,1362
NL200,2020-01,578527,578527
NL200,2020-02,494112,494112
NL200,2020-03,286947,286947
NL200,2020-12,1371,1371
NL200,2021-01,688398,697813
NL200,2021-02,563741,570060
NL200,2021-03,107494,109168
NL200,2021-12,2387,2387
NL200,2022-01,514728,521651
NL200,2022-02,385988,392029
NL200,2022-03,326691,330935
NL200,2022-04,83123,85332
NL200,2022-12,790,810
NL200,2023-01,415762,418187
NL200,2023-02,308772,309002
NL200,2023-03,341727,341727
NL200,2023-04,239657,239657
NL200,2024-01,395416,395416
NL200,2024-02,406972,406972
NL200,2024-03,461832,461832
NL200,2024-04,1806,1806
NL200,2025-01,365189,365189
NL200,2025-02,351817,351817
NL200,2025-03,345748,345748
NL200,2025-04,315465,315465
NL200,2025-05,13612,13612
NL50,2010-01,0,1311910
NL50,2011-01,1382417,1382417
NL50,2012-01,781256,1431238
NL50,2012-12,195,195
NL50,2013-01,1231743,1723666
NL50,2014-05,364,364
NL50,2014-06,1101003,1173953
NL50,2014-12,2289,2289
NL50,2015-01,979038,1044717
NL50,2016-01,1500390,1506327
NL50,2017-01,1445607,1499047
NL50,2018-01,1436119,1482781
NL50,2019-01,1377308,1423765
NL50,2020-01,1419012,1419012
NL50,2021-01,1423826,1442743
NL50,2022-01,1508583,1520202
NL50,2023-01,1476625,1492225
NL50,2024-01,1107890,1107890
