dataset,year,three_bet_count,avg_3bet_size_bb,median_3bet_size_bb,avg_3bet_size_bb_excl_shove
NL200,2011,92181,13.34,10.0,5.87
NL200,2012,87402,9.49,9.0,6.47
NL200,2013,72277,9.08,8.0,6.39
NL200,2014,86698,9.18,8.0,6.43
NL200,2015,111643,9.09,8.5,6.53
NL200,2016,114244,9.56,9.0,6.41
NL200,2017,104247,9.75,9.0,6.45
NL200,2018,109066,10.04,9.0,6.25
NL200,2019,99120,9.96,9.0,6.46
NL200,2020,139585,10.15,9.0,6.48
NL200,2021,149426,10.13,9.0,6.5
NL200,2022,143753,10.15,9.0,6.66
NL200,2023,148322,10.1,9.0,6.74
NL200,2024,193562,10.39,9.2,6.73
NL200,2025,212786,10.51,9.5,6.67
NL50,2011,88784,12.56,10.0,5.82
NL50,2012,58111,10.37,9.0,6.21
NL50,2013,85683,10.16,9.0,6.06
NL50,2014,80893,9.79,9.0,6.22
NL50,2015,71335,9.55,9.0,6.17
NL50,2016,114595,9.89,9.0,6.06
NL50,2017,108762,9.85,9.0,5.98
NL50,2018,112475,10.36,9.0,5.99
NL50,2019,119286,10.22,9.0,5.93
NL50,2020,125069,10.59,9.0,5.92
NL50,2021,137301,10.72,9.0,5.9
NL50,2022,148557,10.33,9.0,6.21
NL50,2023,152372,10.19,9.0,6.49
NL50,2024,218273,10.1,9.0,6.49
NL50,2025,224078,10.14,9.0,6.51
NL5K,2011,25457,10.11,9.0,6.47
NL5K,2012,29349,9.55,9.0,6.54
NL5K,2013,34049,9.27,8.0,6.55
NL5K,2014,29789,9.21,8.0,6.66
NL5K,2015,21009,9.26,8.0,6.7
NL5K,2016,14542,9.47,9.0,6.87
NL5K,2017,18755,9.54,9.0,6.9
NL5K,2018,15069,9.84,9.0,6.95
NL5K,2019,14454,9.88,9.0,6.98
NL5K,2020,15532,9.56,9.0,6.97
NL5K,2021,3686,9.6,9.0,6.93
NL5K,2022,1091,10.59,9.0,6.68
NL5K,2023,2147,11.84,9.0,6.45
NL5K,2024,2241,12.83,9.0,6.43
NL5K,2025,3253,11.82,9.0,6.34
