granularity,dataset,year,hands,player_hands,bb100,rake_bb100_equiv,pct_hands_raked,avg_rake_bb_when_raked
overall,NL200,,9893164,59358984,-5.81,-5.88,48.3,0.731
overall,NL50,,11270845,67625070,-9.11,-9.24,52.3,1.06
overall,NL5K,,1116765,6700590,-0.57,-0.5,49.2,0.061
year,NL50,2011,736440,4418640,-7.79,,,
year,NL50,2012,445042,2670252,-8.21,,,
year,NL50,2013,647978,3887868,-8.55,,,
year,NL50,2014,530715,3184290,-8.18,,,
year,NL50,2015,476091,2856546,-8.57,,,
year,NL50,2016,764387,4586322,-9.2,,,
year,NL50,2017,662957,3977742,-9.82,,,
year,NL50,2018,674696,4048176,-10.22,,,
year,NL50,2019,687351,4124106,-10.14,,,
year,NL50,2020,733847,4403082,-10.82,,,
year,NL50,2021,839418,5036508,-10.33,,,
year,NL50,2022,838953,5033718,-9.27,,,
year,NL50,2023,815651,4893906,-9.06,,,
year,NL50,2024,1199986,7199916,-8.1,,,
year,NL50,2025,1217333,7303998,-8.53,,,
year,NL200,2011,602337,3614022,-4.94,,,
year,NL200,2012,519404,3116424,-4.7,,,
year,NL200,2013,412479,2474874,-4.78,,,
year,NL200,2014,481464,2888784,-5.13,,,
year,NL200,2015,625450,3752700,-5.39,,,
year,NL200,2016,654804,3928824,-6.02,,,
year,NL200,2017,560793,3364758,-6.34,,,
year,NL200,2018,603583,3621498,-6.33,,,
year,NL200,2019,518107,3108642,-6.57,,,
year,NL200,2020,725103,4350618,-6.51,,,
year,NL200,2021,778105,4668630,-6.44,,,
year,NL200,2022,722511,4335066,-6.17,,,
year,NL200,2023,709184,4255104,-6.0,,,
year,NL200,2024,944170,5665020,-5.61,,,
year,NL200,2025,1035670,6214020,-5.58,,,
year,NL5K,2011,129500,777000,-0.39,,,
year,NL5K,2012,139778,838668,-0.4,,,
year,NL5K,2013,165309,991854,-0.53,,,
year,NL5K,2014,149483,896898,-0.75,,,
year,NL5K,2015,105293,631758,-0.76,,,
year,NL5K,2016,71312,427872,-0.63,,,
year,NL5K,2017,90772,544632,-0.59,,,
year,NL5K,2018,73825,442950,-0.64,,,
year,NL5K,2019,67210,403260,-0.56,,,
year,NL5K,2020,69789,418734,-0.5,,,
year,NL5K,2021,15611,93666,-0.45,,,
year,NL5K,2022,4782,28692,-0.44,,,
year,NL5K,2023,9711,58266,-0.73,,,
year,NL5K,2024,10025,60150,-0.63,,,
year,NL5K,2025,14365,86190,-0.52,,,
