dataset,year,position,player_hands,vpip_count,vpip_pct,pfr_count,pfr_pct,rfi_opps,rfi_count,rfi_pct
NL200,2011,LJ,602337,121771,20.22,96535,16.03,602326,95741,15.9
NL200,2011,HJ,602337,130086,21.6,99590,16.53,506585,95461,18.84
NL200,2011,CO,602337,148304,24.62,111021,18.43,411129,101979,24.8
NL200,2011,BTN,602337,181080,30.06,132306,21.97,309151,114642,37.08
NL200,2011,SB,602337,163667,27.17,92743,15.4,194507,63321,32.55
NL200,2011,BB,602337,128087,21.27,45692,7.59,0,9663,
NL200,2012,LJ,519404,100696,19.39,90272,17.38,519208,89853,17.31
NL200,2012,HJ,519404,107759,20.75,90154,17.36,429375,86912,20.24
NL200,2012,CO,519404,127463,24.54,101416,19.53,342502,93175,27.2
NL200,2012,BTN,519404,171239,32.97,132283,25.47,249366,114954,46.1
NL200,2012,SB,519404,124816,24.03,79341,15.28,134454,49995,37.18
NL200,2012,BB,519404,107607,20.72,37274,7.18,0,4148,
NL200,2013,LJ,412479,82509,20.0,72978,17.69,412461,72558,17.59
NL200,2013,HJ,412479,87992,21.33,72664,17.62,339905,69522,20.45
NL200,2013,CO,412479,105191,25.5,82981,20.12,270388,75687,27.99
NL200,2013,BTN,412479,138680,33.62,106092,25.72,194706,91492,46.99
NL200,2013,SB,412479,102254,24.79,63022,15.28,103214,38547,37.35
NL200,2013,BB,412479,92655,22.46,30271,7.34,0,3764,
NL200,2014,LJ,481464,96287,20.0,85738,17.81,481450,85254,17.71
NL200,2014,HJ,481464,102172,21.22,84680,17.59,396197,80692,20.37
NL200,2014,CO,481464,121268,25.19,95679,19.87,315507,86920,27.55
NL200,2014,BTN,481464,164779,34.22,126459,26.27,228592,109806,48.04
NL200,2014,SB,481464,121968,25.33,76210,15.83,118789,46278,38.96
NL200,2014,BB,481464,122211,25.38,36300,7.54,0,4591,
NL200,2015,LJ,625450,127145,20.33,113340,18.12,625142,112645,18.02
NL200,2015,HJ,625450,134800,21.55,111508,17.83,512558,105970,20.67
NL200,2015,CO,625450,158253,25.3,124240,19.86,406631,111838,27.5
NL200,2015,BTN,625450,210210,33.61,159049,25.43,294838,137029,46.48
NL200,2015,SB,625450,164440,26.29,100417,16.06,157890,62714,39.72
NL200,2015,BB,625450,176072,28.15,45422,7.26,0,6111,
NL200,2016,LJ,654804,141454,21.6,121081,18.49,654800,120197,18.36
NL200,2016,HJ,654804,147438,22.52,117553,17.95,534605,110923,20.75
NL200,2016,CO,654804,168271,25.7,128070,19.56,423680,114230,26.96
NL200,2016,BTN,654804,214286,32.73,156436,23.89,309452,132392,42.78
NL200,2016,SB,654804,182912,27.93,101586,15.51,177060,64031,36.16
NL200,2016,BB,654804,199963,30.54,48218,7.36,0,10189,
NL200,2017,LJ,560793,119524,21.31,103941,18.53,560778,103277,18.42
NL200,2017,HJ,560793,125113,22.31,102172,18.22,457503,95979,20.98
NL200,2017,CO,560793,143535,25.6,112079,19.99,361527,98596,27.27
NL200,2017,BTN,560793,181043,32.28,135440,24.15,262936,113180,43.04
NL200,2017,SB,560793,154168,27.49,89833,16.02,149759,55344,36.96
NL200,2017,BB,560793,178699,31.87,41884,7.47,0,8539,
NL200,2018,LJ,603583,136887,22.68,111745,18.51,602634,110797,18.39
NL200,2018,HJ,603583,143834,23.83,111119,18.41,492053,103765,21.09
NL200,2018,CO,603583,160723,26.63,119068,19.73,388451,104279,26.84
NL200,2018,BTN,603583,195816,32.44,139764,23.16,284311,115190,40.52
NL200,2018,SB,603583,176546,29.25,92206,15.28,169263,57695,34.09
NL200,2018,BB,603583,194090,32.16,46582,7.72,0,12454,
NL200,2019,LJ,518107,110825,21.39,92898,17.93,518107,92147,17.79
NL200,2019,HJ,518107,116273,22.44,93702,18.09,425960,87044,20.43
NL200,2019,CO,518107,131682,25.42,103183,19.92,338916,89676,26.46
NL200,2019,BTN,518107,160879,31.05,122080,23.56,249240,99148,39.78
NL200,2019,SB,518107,146549,28.29,82104,15.85,150092,50820,33.86
NL200,2019,BB,518107,163170,31.49,41306,7.97,0,10393,
NL200,2020,LJ,725103,158824,21.9,132706,18.3,725102,131676,18.16
NL200,2020,HJ,725103,166683,22.99,133897,18.47,593427,124251,20.94
NL200,2020,CO,725103,186743,25.75,145399,20.05,469176,125383,26.72
NL200,2020,BTN,725103,224286,30.93,167429,23.09,343793,134915,39.24
NL200,2020,SB,725103,202972,27.99,116265,16.03,208878,73216,35.05
NL200,2020,BB,725103,225189,31.06,55207,7.61,0,12615,
NL200,2021,LJ,778105,172831,22.21,141864,18.23,778100,140651,18.08
NL200,2021,HJ,778105,179657,23.09,142580,18.32,637450,132485,20.78
NL200,2021,CO,778105,198920,25.56,154142,19.81,504967,132944,26.33
NL200,2021,BTN,778105,237302,30.5,176766,22.72,372022,141619,38.07
NL200,2021,SB,778105,214471,27.56,127120,16.34,230406,81790,35.5
NL200,2021,BB,778105,240618,30.92,60150,7.73,0,13997,
NL200,2022,LJ,722511,157600,21.81,131603,18.21,722472,130522,18.07
NL200,2022,HJ,722511,165556,22.91,134483,18.61,591957,124857,21.09
NL200,2022,CO,722511,182320,25.23,145211,20.1,467106,124603,26.68
NL200,2022,BTN,722511,217673,30.13,166736,23.08,342507,132938,38.81
NL200,2022,SB,722511,193710,26.81,121445,16.81,209579,77484,36.97
NL200,2022,BB,722511,220145,30.47,55634,7.7,0,11461,
NL200,2023,LJ,709184,154444,21.78,132307,18.66,709182,131428,18.53
NL200,2023,HJ,709184,160220,22.59,133690,18.85,577755,123654,21.4
NL200,2023,CO,709184,176975,24.95,145007,20.45,454102,123778,27.26
NL200,2023,BTN,709184,212219,29.92,167245,23.58,330323,131910,39.93
NL200,2023,SB,709184,183423,25.86,122369,17.25,198413,77518,39.07
NL200,2023,BB,709184,217917,30.73,55848,7.87,0,10178,
NL200,2024,LJ,944170,201263,21.32,156056,16.53,778759,148552,19.08
NL200,2024,HJ,944170,203927,21.6,169825,17.99,724183,157550,21.76
NL200,2024,CO,944170,224791,23.81,186155,19.72,594707,161179,27.1
NL200,2024,BTN,944170,291686,30.89,236064,25.0,479192,190569,39.77
NL200,2024,SB,944170,237062,25.11,162728,17.24,267879,105330,39.32
NL200,2024,BB,944170,270609,28.66,79165,8.38,0,20383,
NL200,2025,LJ,1035670,220888,21.33,172041,16.61,844736,163289,19.33
NL200,2025,HJ,1035670,223215,21.55,187136,18.07,790631,173670,21.97
NL200,2025,CO,1035670,245612,23.72,204012,19.7,648919,177120,27.29
NL200,2025,BTN,1035670,320455,30.94,258893,25.0,524310,209582,39.97
NL200,2025,SB,1035670,259348,25.04,177861,17.17,290958,115001,39.52
NL200,2025,BB,1035670,302766,29.23,88235,8.52,0,22537,
NL50,2011,LJ,736440,156851,21.3,108827,14.78,736432,107668,14.62
NL50,2011,HJ,736440,166966,22.67,113143,15.36,628764,108640,17.28
NL50,2011,CO,736440,186693,25.35,125701,17.07,520124,115803,22.26
NL50,2011,BTN,736440,217031,29.47,141733,19.25,404323,123491,30.54
NL50,2011,SB,736440,217366,29.52,100086,13.59,280830,72800,25.92
NL50,2011,BB,736440,148059,20.1,50065,6.8,0,17078,
NL50,2012,LJ,445042,90019,20.23,71951,16.17,445013,71434,16.05
NL50,2012,HJ,445042,96730,21.74,73879,16.6,373583,71147,19.04
NL50,2012,CO,445042,112595,25.3,82293,18.49,302440,76248,25.21
NL50,2012,BTN,445042,136537,30.68,95783,21.52,226204,83734,37.02
NL50,2012,SB,445042,117204,26.34,61240,13.76,142476,43026,30.2
NL50,2012,BB,445042,90518,20.34,27616,6.21,0,6239,
NL50,2013,LJ,647978,141017,21.76,108124,16.69,647927,107204,16.55
NL50,2013,HJ,647978,150907,23.29,109099,16.84,540730,104525,19.33
NL50,2013,CO,647978,170656,26.34,117957,18.2,436219,108227,24.81
NL50,2013,BTN,647978,206822,31.92,138039,21.3,328006,119312,36.37
NL50,2013,SB,647978,180630,27.88,85338,13.17,208692,59033,28.29
NL50,2013,BB,647978,144940,22.37,41704,6.44,0,11520,
NL50,2014,LJ,530715,109885,20.71,90857,17.12,530288,90234,17.02
NL50,2014,HJ,530715,118277,22.29,91395,17.22,440144,87281,19.83
NL50,2014,CO,530715,139029,26.2,102779,19.37,352907,93830,26.59
NL50,2014,BTN,530715,172876,32.57,122588,23.1,259142,105889,40.86
NL50,2014,SB,530715,141941,26.75,77502,14.6,153353,51417,33.53
NL50,2014,BB,530715,124414,23.44,35784,6.74,0,7179,
NL50,2015,LJ,476091,101812,21.38,82320,17.29,475809,81698,17.17
NL50,2015,HJ,476091,108555,22.8,81984,17.22,394165,78296,19.86
NL50,2015,CO,476091,125655,26.39,90341,18.98,315902,82351,26.07
NL50,2015,BTN,476091,156100,32.79,108339,22.76,233592,93330,39.95
NL50,2015,SB,476091,132893,27.91,69893,14.68,140322,46959,33.47
NL50,2015,BB,476091,120090,25.22,31948,6.71,0,7104,
NL50,2016,LJ,764387,173981,22.76,135793,17.76,763895,134633,17.62
NL50,2016,HJ,764387,183986,24.07,134307,17.57,629378,127747,20.3
NL50,2016,CO,764387,208313,27.25,145394,19.02,501714,131593,26.23
NL50,2016,BTN,764387,253831,33.21,169586,22.19,370211,145230,39.23
NL50,2016,SB,764387,222697,29.13,108428,14.18,225052,71672,31.85
NL50,2016,BB,764387,206406,27.0,52409,6.86,0,13867,
NL50,2017,LJ,662957,151435,22.84,118931,17.94,662957,117907,17.79
NL50,2017,HJ,662957,158945,23.98,117155,17.67,545050,110497,20.27
NL50,2017,CO,662957,179597,27.09,127544,19.24,434553,113875,26.21
NL50,2017,BTN,662957,218831,33.01,150186,22.65,320677,126494,39.45
NL50,2017,SB,662957,193733,29.22,99121,14.95,194184,64243,33.08
NL50,2017,BB,662957,193016,29.11,49068,7.4,0,13677,
NL50,2018,LJ,674696,158063,23.43,123736,18.34,674622,122598,18.17
NL50,2018,HJ,674696,165208,24.49,121329,17.98,552031,113739,20.6
NL50,2018,CO,674696,184946,27.41,129708,19.22,438303,114754,26.18
NL50,2018,BTN,674696,220398,32.67,148544,22.02,323560,123435,38.15
NL50,2018,SB,674696,200398,29.7,99591,14.76,200150,64034,31.99
NL50,2018,BB,674696,199100,29.51,49517,7.34,0,14198,
NL50,2019,LJ,687351,158681,23.09,124572,18.12,687331,123448,17.96
NL50,2019,HJ,687351,165280,24.05,122603,17.84,563890,114520,20.31
NL50,2019,CO,687351,184851,26.89,132929,19.34,449373,116707,25.97
NL50,2019,BTN,687351,220891,32.14,152860,22.24,332663,125640,37.77
NL50,2019,SB,687351,200412,29.16,103350,15.04,207031,66192,31.97
NL50,2019,BB,687351,201139,29.26,51762,7.53,0,14539,
NL50,2020,LJ,733847,178082,24.27,134177,18.28,733847,132840,18.1
NL50,2020,HJ,733847,185828,25.32,132476,18.05,601007,123596,20.56
NL50,2020,CO,733847,203546,27.74,139785,19.05,477411,121946,25.54
NL50,2020,BTN,733847,239924,32.69,157382,21.45,355465,128593,36.18
NL50,2020,SB,733847,224139,30.54,108379,14.77,226872,70220,30.95
NL50,2020,BB,733847,223490,30.45,56273,7.67,0,17434,
NL50,2021,LJ,839418,206283,24.57,150331,17.91,838926,148702,17.73
NL50,2021,HJ,839418,214497,25.55,149524,17.81,690317,139330,20.18
NL50,2021,CO,839418,232279,27.67,156218,18.61,551079,136098,24.7
NL50,2021,BTN,839418,268373,31.97,173816,20.71,415043,141949,34.2
NL50,2021,SB,839418,258337,30.78,122367,14.58,273188,81149,29.7
NL50,2021,BB,839418,247960,29.54,63143,7.52,0,21279,
NL50,2022,LJ,838953,193251,23.03,152640,18.19,837909,151302,18.06
NL50,2022,HJ,838953,201545,24.02,152682,18.2,686799,141966,20.67
NL50,2022,CO,838953,219004,26.1,161150,19.21,545002,139575,25.61
NL50,2022,BTN,838953,255523,30.46,181417,21.62,405591,145992,35.99
NL50,2022,SB,838953,235689,28.09,129953,15.49,259800,85425,32.88
NL50,2022,BB,838953,241247,28.76,61635,7.35,0,16887,
NL50,2023,LJ,815651,185308,22.72,149117,18.28,815412,147923,18.14
NL50,2023,HJ,815651,192612,23.61,149925,18.38,667536,139035,20.83
NL50,2023,CO,815651,209860,25.73,159317,19.53,528536,136963,25.91
NL50,2023,BTN,815651,246349,30.2,180701,22.15,391598,144513,36.9
NL50,2023,SB,815651,221813,27.19,129967,15.93,247132,83953,33.97
NL50,2023,BB,815651,233310,28.6,60564,7.43,0,15047,
NL50,2024,LJ,1199986,255119,21.26,188538,15.71,961198,179355,18.66
NL50,2024,HJ,1199986,262171,21.85,208130,17.34,916079,194575,21.24
NL50,2024,CO,1199986,289205,24.1,227956,19.0,761603,200253,26.29
NL50,2024,BTN,1199986,374532,31.21,287632,23.97,629086,235673,37.46
NL50,2024,SB,1199986,310516,25.88,193485,16.12,361649,128909,35.64
NL50,2024,BB,1199986,323726,26.98,94931,7.91,0,30056,
NL50,2025,LJ,1217333,264692,21.74,195021,16.02,986170,185969,18.86
NL50,2025,HJ,1217333,270815,22.25,212716,17.47,930400,198030,21.28
NL50,2025,CO,1217333,297753,24.46,233164,19.15,771670,203674,26.39
NL50,2025,BTN,1217333,382538,31.42,292257,24.01,633342,238752,37.7
NL50,2025,SB,1217333,316554,26.0,195966,16.1,364422,129745,35.6
NL50,2025,BB,1217333,333835,27.42,96060,7.89,0,30375,
NL5K,2011,LJ,129500,26734,20.64,25179,19.44,129500,25074,19.36
NL5K,2011,HJ,129500,28163,21.75,24076,18.59,104426,23122,22.14
NL5K,2011,CO,129500,33189,25.63,26655,20.58,81304,24043,29.57
NL5K,2011,BTN,129500,47516,36.69,36766,28.39,57261,31383,54.81
NL5K,2011,SB,129500,30707,23.71,18494,14.28,25878,9928,38.36
NL5K,2011,BB,129500,32108,24.79,9903,7.65,0,571,
NL5K,2012,LJ,139778,28230,20.2,27257,19.5,139778,27204,19.46
NL5K,2012,HJ,139778,30220,21.62,26531,18.98,112574,25447,22.6
NL5K,2012,CO,139778,36483,26.1,29544,21.14,87127,26780,30.74
NL5K,2012,BTN,139778,53917,38.57,42629,30.5,60347,36720,60.85
NL5K,2012,SB,139778,32845,23.5,20511,14.67,23627,9787,41.42
NL5K,2012,BB,139778,36763,26.3,11056,7.91,0,422,
NL5K,2013,LJ,165309,32845,19.87,31376,18.98,165309,31257,18.91
NL5K,2013,HJ,165309,34285,20.74,30121,18.22,134052,28832,21.51
NL5K,2013,CO,165309,42366,25.63,34924,21.13,105220,31738,30.16
NL5K,2013,BTN,165309,61001,36.9,48496,29.34,73482,41890,57.01
NL5K,2013,SB,165309,41356,25.02,26076,15.77,31592,13088,41.43
NL5K,2013,BB,165309,51797,31.33,13108,7.93,0,1050,
NL5K,2014,LJ,149483,30181,20.19,28790,19.26,149483,28689,19.19
NL5K,2014,HJ,149483,32189,21.53,28115,18.81,120794,26953,22.31
NL5K,2014,CO,149483,38869,26.0,31501,21.07,93841,28575,30.45
NL5K,2014,BTN,149483,53748,35.96,41308,27.63,65266,35446,54.31
NL5K,2014,SB,149483,38966,26.07,23712,15.86,29820,12623,42.33
NL5K,2014,BB,149483,54939,36.75,11603,7.76,0,1129,
NL5K,2015,LJ,105293,21569,20.48,20212,19.2,105293,20110,19.1
NL5K,2015,HJ,105293,22468,21.34,19500,18.52,85183,18429,21.63
NL5K,2015,CO,105293,26786,25.44,21936,20.83,66754,19461,29.15
NL5K,2015,BTN,105293,35257,33.48,27180,25.81,47293,22862,48.34
NL5K,2015,SB,105293,28857,27.41,16628,15.79,24431,9185,37.6
NL5K,2015,BB,105293,42095,39.98,8720,8.28,0,1725,
