dataset,year,hands,player_hands,vpip_pct,pfr_pct,three_bet_opps,three_bet_pct,cbet_opps,cbet_pct,bb100
NL50,2011,736440,4418640,24.74,14.47,1535411,5.78,1228842,67.9,-7.79
NL50,2012,445042,2670252,24.1,15.46,1012995,5.74,817740,68.04,-8.21
NL50,2013,647978,3887868,25.59,15.44,1471227,5.82,1340706,66.41,-8.55
NL50,2014,530715,3184290,25.33,16.36,1246292,6.49,1119888,64.44,-8.18
NL50,2015,476091,2856546,26.08,16.27,1114656,6.4,1074096,62.63,-8.57
NL50,2016,764387,4586322,27.24,16.26,1795134,6.38,1843170,60.5,-9.2
NL50,2017,662957,3977742,27.54,16.64,1548520,7.02,1676256,59.07,-9.82
NL50,2018,674696,4048176,27.87,16.61,1570790,7.16,1737150,59.94,-10.22
NL50,2019,687351,4124106,27.43,16.68,1579730,7.55,1740306,60.9,-10.14
NL50,2020,733847,4403082,28.5,16.54,1677917,7.45,1947324,60.47,-10.82
NL50,2021,839418,5036508,28.35,16.19,1878984,7.31,2177658,61.68,-10.33
NL50,2022,838953,5033718,26.74,16.68,1906168,7.79,2047134,61.81,-9.27
NL50,2023,815651,4893906,26.34,16.95,1860872,8.19,1929630,61.88,-9.06
NL50,2024,1199986,7199916,25.21,16.68,2527906,8.63,2692806,61.72,-8.1
NL50,2025,1217333,7303998,25.55,16.77,2582936,8.68,2786832,62.1,-8.53
NL200,2011,602337,3614022,24.16,15.99,1356412,6.8,943272,69.09,-4.94
NL200,2012,519404,3116424,23.73,17.03,1258516,6.94,877986,70.28,-4.7
NL200,2013,412479,2474874,24.62,17.29,1005959,7.18,774048,68.09,-4.78
NL200,2014,481464,2888784,25.22,17.48,1175095,7.38,994902,64.77,-5.13
NL200,2015,625450,3752700,25.87,17.43,1524011,7.33,1447428,60.24,-5.39
NL200,2016,654804,3928824,26.84,17.13,1570181,7.28,1644174,57.87,-6.02
NL200,2017,560793,3364758,26.81,17.4,1340034,7.78,1429554,59.53,-6.34
NL200,2018,603583,3621498,27.83,17.13,1418408,7.69,1602192,60.36,-6.33
NL200,2019,518107,3108642,26.68,17.22,1190172,8.33,1312362,62.28,-6.57
NL200,2020,725103,4350618,26.77,17.26,1677924,8.32,1819776,63.55,-6.51
NL200,2021,778105,4668630,26.64,17.19,1787869,8.36,1950852,62.81,-6.44
NL200,2022,722511,4335066,26.23,17.42,1667131,8.62,1750560,62.16,-6.17
NL200,2023,709184,4255104,25.97,17.78,1655008,8.96,1679088,63.82,-6.0
NL200,2024,944170,5665020,25.23,17.48,2047661,9.45,2101944,63.86,-5.61
NL200,2025,1035670,6214020,25.3,17.51,2254154,9.44,2314404,62.37,-5.58
NL5K,2011,129500,777000,25.54,18.16,333073,7.64,259434,69.3,-0.39
NL5K,2012,139778,838668,26.05,18.78,367822,7.98,294462,70.41,-0.4
NL5K,2013,165309,991854,26.58,18.56,424769,8.02,390120,68.24,-0.53
NL5K,2014,149483,896898,27.75,18.4,386050,7.72,412812,63.74,-0.75
NL5K,2015,105293,631758,28.02,18.07,261174,8.04,307260,64.48,-0.76
NL5K,2016,71312,427872,27.13,17.89,171328,8.49,199524,67.53,-0.63
NL5K,2017,90772,544632,27.04,17.97,216293,8.67,249540,65.69,-0.59
NL5K,2018,73825,442950,26.46,17.85,175759,8.57,194844,67.06,-0.64
NL5K,2019,67210,403260,27.01,18.15,160528,9.0,179556,66.72,-0.56
NL5K,2020,69789,418734,25.89,18.27,166203,9.35,175410,66.45,-0.5
NL5K,2021,15611,93666,26.05,18.68,37315,9.88,40050,68.22,-0.45
NL5K,2022,4782,28692,26.25,18.6,11664,9.35,11904,67.69,-0.44
NL5K,2023,9711,58266,25.64,18.32,23142,9.28,21624,67.98,-0.73
NL5K,2024,10025,60150,26.01,18.33,23291,9.62,22872,64.95,-0.63
NL5K,2025,14365,86190,26.55,18.45,33583,9.69,35214,59.81,-0.52
