dataset,year,btn_bb_opps,btn_bb_fold,btn_bb_call,btn_bb_three_bet,btn_bb_fold_pct,btn_bb_call_pct,btn_bb_three_bet_pct,sb_first_in_opps,sb_raise,sb_limp,sb_fold,sb_raise_pct,sb_limp_pct,sb_fold_pct,bb_defense_opps,bb_fold,bb_call,bb_three_bet,bb_fold_pct,bb_call_pct,bb_three_bet_pct
NL200,2011,114640,82951,19415,12274,72.36,16.94,10.71,145125,56590,14894,73641,38.99,10.26,50.74,471132,352711,82403,36018,74.86,17.49,7.64
NL200,2012,114914,82575,19573,12766,71.86,17.03,11.11,116672,47173,4889,64610,40.43,4.19,55.38,434725,331291,70324,33110,76.21,16.18,7.62
NL200,2013,91489,63117,18235,10137,68.99,19.93,11.08,86746,35794,4417,46535,41.26,5.09,53.65,347795,258904,62399,26492,74.44,17.94,7.62
NL200,2014,109804,69945,27577,12282,63.7,25.11,11.19,100962,42832,5265,52865,42.42,5.21,52.36,408939,291320,85933,31686,71.24,21.01,7.75
NL200,2015,136951,80615,41957,14379,58.86,30.64,10.5,133828,58213,7189,68426,43.5,5.37,51.13,529919,360009,130625,39285,67.94,24.65,7.41
NL200,2016,132391,75329,44173,12889,56.9,33.37,9.74,140963,57230,14873,68860,40.6,10.55,48.85,541769,351996,151778,37995,64.97,28.02,7.01
NL200,2017,113177,63836,38457,10884,56.4,33.98,9.62,122816,49970,12885,59961,40.69,10.49,48.82,466362,296207,136837,33318,63.51,29.34,7.14
NL200,2018,115027,65280,39283,10464,56.75,34.15,9.1,126158,49526,16940,59692,39.26,13.43,47.32,490990,309558,147328,34104,63.05,30.01,6.95
NL200,2019,99148,56893,32799,9456,57.38,33.08,9.54,118142,44400,16464,57278,37.58,13.94,48.48,418835,266058,121891,30886,63.52,29.1,7.37
NL200,2020,134915,79201,43252,12462,58.7,32.06,9.24,162719,64442,17796,80481,39.6,10.94,49.46,589441,376867,170011,42563,63.94,28.84,7.22
NL200,2021,141619,83826,44646,13147,59.19,31.53,9.28,174345,70773,17583,85989,40.59,10.09,49.32,629486,402866,180507,46113,64.0,28.68,7.33
NL200,2022,132931,79383,41077,12471,59.72,30.9,9.38,162625,68210,13791,80624,41.94,8.48,49.58,590374,381697,164537,44140,64.65,27.87,7.48
NL200,2023,131909,79303,39648,12958,60.12,30.06,9.82,158593,68878,11140,78575,43.43,7.02,49.55,588287,380549,162087,45651,64.69,27.55,7.76
NL200,2024,175907,109142,48623,18142,62.05,27.64,10.31,217858,94083,15217,108558,43.19,6.98,49.83,718995,469948,190296,58751,65.36,26.47,8.17
NL200,2025,192406,118427,53983,19996,61.55,28.06,10.39,239708,103491,15915,120302,43.17,6.64,50.19,787675,508641,213374,65660,64.57,27.09,8.34
NL50,2011,123489,90872,22235,10382,73.59,18.01,8.41,182736,60205,27835,94696,32.95,15.23,51.82,528394,397414,98013,32967,75.21,18.55,6.24
NL50,2012,83727,61195,15052,7480,73.09,17.98,8.93,108897,38542,9855,60500,35.39,9.05,55.56,345567,261290,62913,21364,75.61,18.21,6.18
NL50,2013,119307,83765,25564,9978,70.21,21.43,8.36,147762,50490,16680,80592,34.17,11.29,54.54,498263,364852,103257,30154,73.22,20.72,6.05
NL50,2014,105799,71247,24673,9879,67.34,23.32,9.34,118610,45583,8839,64188,38.43,7.45,54.12,428288,311116,88587,28585,72.64,20.68,6.67
NL50,2015,93275,60711,24219,8345,65.09,25.97,8.95,104845,41080,8929,54836,39.18,8.52,52.3,382405,269463,88112,24830,70.47,23.04,6.49
NL50,2016,145163,90974,41779,12410,62.67,28.78,8.55,156648,60600,17561,78487,38.69,11.21,50.1,610574,418135,153933,38506,68.48,25.21,6.31
NL50,2017,126494,76477,39111,10906,60.46,30.92,8.62,133964,53635,16213,64116,40.04,12.1,47.86,533016,353677,143988,35351,66.35,27.01,6.63
NL50,2018,123416,74504,38391,10521,60.37,31.11,8.52,137837,52945,18036,66856,38.41,13.09,48.5,538499,353610,149605,35284,65.67,27.78,6.55
NL50,2019,125637,76214,38330,11093,60.66,30.51,8.83,143751,54561,19168,70022,37.96,13.33,48.71,546493,359896,149416,37181,65.86,27.34,6.8
NL50,2020,128592,76688,40961,10943,59.64,31.85,8.51,146791,55927,20899,69965,38.1,14.24,47.66,577194,371138,167255,38801,64.3,28.98,6.72
NL50,2021,141863,87141,43269,11453,61.43,30.5,8.07,170025,63028,25170,81827,37.07,14.8,48.13,646840,420254,184755,41831,64.97,28.56,6.47
NL50,2022,145823,90657,42846,12320,62.17,29.38,8.45,183730,71203,21135,91392,38.75,11.5,49.74,663443,439344,179398,44701,66.22,27.04,6.74
NL50,2023,144470,90421,41131,12918,62.59,28.47,8.94,178001,71440,18437,88124,40.13,10.36,49.51,652184,433978,172723,45483,66.54,26.48,6.97
NL50,2024,215642,137928,57733,19981,63.96,26.77,9.27,277892,112071,25684,140137,40.33,9.24,50.43,877434,586204,226397,64833,66.81,25.8,7.39
NL50,2025,219554,139665,59861,20028,63.61,27.26,9.12,275505,111261,25221,139023,40.38,9.15,50.46,897212,595727,235858,65627,66.4,26.29,7.31
NL5K,2011,31383,20516,6983,3884,65.37,22.25,12.38,23746,9561,628,13557,40.26,2.64,57.09,113550,82013,22212,9325,72.23,19.56,8.21
NL5K,2012,36720,22392,9501,4827,60.98,25.87,13.15,22383,9517,451,12415,42.52,2.01,55.47,125938,89597,25711,10630,71.14,20.42,8.44
