dataset,year,n_players,min_hands,median_hands,metric,mean,std,p25,p50,p75,iqr
NL200,2011,963,500,1207.0,bb_fold,75.88,12.42,71.28,79.76,84.1,12.81
NL200,2011,963,500,1207.0,bb_three_bet,7.56,3.83,4.9,7.14,9.91,5.01
NL200,2011,963,500,1207.0,cbet,69.25,18.41,58.17,68.84,80.49,22.32
NL200,2011,963,500,1207.0,fold_to_3bet,56.78,17.2,47.37,59.83,68.67,21.3
NL200,2011,963,500,1207.0,pfr,15.88,4.36,13.66,15.97,18.23,4.57
NL200,2011,963,500,1207.0,three_bet,6.7,2.88,4.76,6.46,8.49,3.73
NL200,2011,963,500,1207.0,vpip,23.03,7.63,18.34,21.05,25.16,6.82
NL200,2012,689,500,1575.0,bb_fold,74.25,11.82,70.82,78.21,81.75,10.93
NL200,2012,689,500,1575.0,bb_three_bet,7.47,3.3,5.43,7.32,9.37,3.94
NL200,2012,689,500,1575.0,cbet,70.69,17.74,60.52,69.81,81.28,20.76
NL200,2012,689,500,1575.0,fold_to_3bet,55.39,17.66,45.45,59.07,67.98,22.53
NL200,2012,689,500,1575.0,pfr,16.98,4.08,14.98,16.78,18.89,3.91
NL200,2012,689,500,1575.0,three_bet,6.83,2.6,5.29,6.79,8.34,3.05
NL200,2012,689,500,1575.0,vpip,24.31,7.4,19.83,22.19,25.89,6.06
NL200,2013,571,500,1549.0,bb_fold,73.19,12.84,69.5,77.39,81.48,11.99
NL200,2013,571,500,1549.0,bb_three_bet,7.54,3.35,5.37,7.26,9.3,3.93
NL200,2013,571,500,1549.0,cbet,69.0,15.96,58.84,68.61,78.77,19.93
NL200,2013,571,500,1549.0,fold_to_3bet,54.0,18.06,45.23,59.09,66.42,21.18
NL200,2013,571,500,1549.0,pfr,17.24,4.49,15.0,16.87,19.44,4.44
NL200,2013,571,500,1549.0,three_bet,7.08,2.67,5.54,6.93,8.56,3.02
NL200,2013,571,500,1549.0,vpip,24.75,7.93,20.3,22.4,26.34,6.04
NL200,2014,579,500,1442.0,bb_fold,68.81,12.68,63.93,72.59,77.49,13.56
NL200,2014,579,500,1442.0,bb_three_bet,7.46,3.19,5.38,7.38,9.41,4.02
NL200,2014,579,500,1442.0,cbet,66.95,19.22,56.77,66.29,75.87,19.11
NL200,2014,579,500,1442.0,fold_to_3bet,49.61,18.16,37.77,53.35,63.07,25.3
NL200,2014,579,500,1442.0,pfr,17.21,4.22,15.5,17.42,19.21,3.71
NL200,2014,579,500,1442.0,three_bet,7.05,2.6,5.48,7.18,8.52,3.04
NL200,2014,579,500,1442.0,vpip,26.24,7.82,21.54,23.99,28.55,7.02
NL200,2015,691,500,1620.0,bb_fold,66.02,12.22,61.27,68.71,74.02,12.75
NL200,2015,691,500,1620.0,bb_three_bet,7.09,3.17,5.2,6.9,8.67,3.47
NL200,2015,691,500,1620.0,cbet,62.31,16.24,51.22,60.18,71.43,20.21
NL200,2015,691,500,1620.0,fold_to_3bet,46.41,17.02,37.5,50.0,57.97,20.47
NL200,2015,691,500,1620.0,pfr,17.31,4.3,15.64,17.53,19.27,3.64
NL200,2015,691,500,1620.0,three_bet,6.94,2.72,5.26,6.93,8.41,3.15
NL200,2015,691,500,1620.0,vpip,26.8,7.86,22.21,24.41,29.06,6.85
NL200,2016,707,500,1386.0,bb_fold,62.11,14.06,55.18,65.73,71.87,16.69
NL200,2016,707,500,1386.0,bb_three_bet,6.74,3.37,4.58,6.58,8.29,3.71
NL200,2016,707,500,1386.0,cbet,62.32,17.08,51.38,58.74,71.41,20.03
NL200,2016,707,500,1386.0,fold_to_3bet,42.46,18.68,30.0,46.11,55.18,25.18
NL200,2016,707,500,1386.0,pfr,16.98,5.3,14.82,17.08,19.15,4.33
NL200,2016,707,500,1386.0,three_bet,6.81,3.05,5.12,6.77,8.46,3.34
NL200,2016,707,500,1386.0,vpip,29.1,10.36,22.36,25.16,33.16,10.8
NL200,2017,597,500,1519.0,bb_fold,61.2,13.01,55.34,64.89,69.79,14.45
NL200,2017,597,500,1519.0,bb_three_bet,6.74,3.28,4.88,6.58,8.49,3.61
NL200,2017,597,500,1519.0,cbet,62.69,16.14,51.81,59.61,70.03,18.22
NL200,2017,597,500,1519.0,fold_to_3bet,41.95,16.66,32.13,45.27,53.26,21.13
NL200,2017,597,500,1519.0,pfr,17.13,4.87,15.38,17.47,19.05,3.67
NL200,2017,597,500,1519.0,three_bet,7.19,3.09,5.24,7.45,8.98,3.74
NL200,2017,597,500,1519.0,vpip,28.95,9.28,23.14,25.53,32.86,9.72
NL200,2018,747,500,1292.0,bb_fold,59.52,14.33,52.17,63.81,69.86,17.69
NL200,2018,747,500,1292.0,bb_three_bet,6.36,3.62,4.12,6.31,8.07,3.95
NL200,2018,747,500,1292.0,cbet,62.41,17.38,52.08,60.27,71.23,19.15
NL200,2018,747,500,1292.0,fold_to_3bet,39.96,17.51,27.96,44.0,51.7,23.73
NL200,2018,747,500,1292.0,pfr,16.53,5.7,14.07,16.82,19.02,4.95
