dataset,player_name,year,year_index,years_active,hands,hands_total,vpip_pct,pfr_pct,three_bet_pct,fold_to_3bet_pct,bb_fold_pct,bb_call_pct,bb_three_bet_pct,cbet_pct,bb100,d_vpip_pct,d_pfr_pct,d_three_bet_pct,d_bb_fold_pct,d_cbet_pct,d_bb100
NL200,$triker_BLR,2019,1,7,2469,46369,21.02,14.78,8.08,56.25,68.6,22.87,8.54,53.21,20.37,,,,,,
NL200,$triker_BLR,2020,2,7,8648,46369,20.79,14.44,7.0,52.34,69.03,24.47,6.5,66.92,4.35,-0.23000000000000043,-0.33999999999999986,-1.08,0.4300000000000068,13.71,-16.020000000000003
NL200,$triker_BLR,2021,3,7,10280,46369,21.28,17.71,10.65,55.03,67.65,22.64,9.71,66.89,9.38,0.490000000000002,3.2700000000000014,3.6500000000000004,-1.3799999999999955,-0.030000000000001137,5.030000000000001
NL200,$triker_BLR,2022,4,7,8108,46369,21.61,17.9,8.95,60.22,70.09,21.56,8.35,64.79,5.59,0.3299999999999983,0.18999999999999773,-1.700000000000001,2.4399999999999977,-2.0999999999999943,-3.790000000000001
NL200,$triker_BLR,2023,5,7,6814,46369,21.78,17.63,8.54,64.41,70.8,22.95,6.25,60.37,-0.06,0.1700000000000017,-0.2699999999999996,-0.41000000000000014,0.7099999999999937,-4.420000000000009,-5.6499999999999995
NL200,$triker_BLR,2024,6,7,4176,46369,20.71,15.85,8.02,62.02,70.61,22.76,6.63,66.38,6.64,-1.0700000000000003,-1.7799999999999994,-0.5199999999999996,-0.18999999999999773,6.009999999999998,6.699999999999999
NL200,$triker_BLR,2025,7,7,5874,46369,19.82,15.34,8.32,61.58,67.24,24.27,8.49,63.19,-13.37,-0.8900000000000006,-0.5099999999999998,0.3000000000000007,-3.3700000000000045,-3.1899999999999977,-20.009999999999998
NL200,0steba,2020,1,3,899,12014,21.58,16.35,9.84,33.33,76.47,19.12,4.41,55.56,19.71,,,,,,
NL200,0steba,2024,2,3,9300,12014,21.18,17.01,9.41,55.1,69.94,22.18,7.87,65.42,5.79,-0.3999999999999986,0.6600000000000001,-0.4299999999999997,-6.530000000000001,9.86,-13.920000000000002
NL200,0steba,2025,3,3,1815,12014,21.1,16.47,8.6,43.1,69.74,21.05,9.21,74.6,-32.5,-0.0799999999999983,-0.5400000000000027,-0.8100000000000005,-0.20000000000000284,9.179999999999993,-38.29
NL200,1.0OO.0OO$,2016,1,3,526,11953,25.1,18.82,7.58,46.67,72.15,21.52,6.33,76.19,15.85,,,,,,
NL200,1.0OO.0OO$,2019,2,3,7676,11953,25.9,18.77,8.84,56.12,64.79,28.03,7.18,62.99,-2.62,0.7999999999999972,-0.05000000000000071,1.2599999999999998,-7.359999999999999,-13.199999999999996,-18.47
NL200,1.0OO.0OO$,2025,3,3,3751,11953,25.14,19.97,10.59,56.83,61.33,27.46,11.21,70.51,-35.17,-0.759999999999998,1.1999999999999993,1.75,-3.460000000000008,7.520000000000003,-32.550000000000004
NL200,1337Gambl0r,2017,1,3,1651,8373,21.5,16.23,5.97,53.49,77.03,16.67,6.31,56.57,-15.21,,,,,,
NL200,1337Gambl0r,2018,2,3,5892,8373,20.2,15.31,5.6,44.03,78.72,15.62,5.67,50.13,20.49,-1.3000000000000007,-0.9199999999999999,-0.3700000000000001,1.6899999999999977,-6.439999999999998,35.7
NL200,1337Gambl0r,2019,3,3,830,8373,20.36,15.66,8.77,66.67,72.73,16.36,10.91,49.21,2.09,0.16000000000000014,0.34999999999999964,3.17,-5.989999999999995,-0.9200000000000017,-18.4
NL200,1ts2Eeeezy,2014,1,3,12910,40565,20.76,17.45,8.28,64.53,82.79,11.24,5.97,63.73,-0.6,,,,,,
NL200,1ts2Eeeezy,2015,2,3,21310,40565,26.73,19.98,8.66,55.65,65.15,26.92,7.93,49.6,14.1,5.969999999999999,2.530000000000001,0.3800000000000008,-17.64,-14.129999999999995,14.7
NL200,1ts2Eeeezy,2022,3,3,6345,40565,23.07,19.76,11.25,60.71,68.93,21.77,9.3,59.88,1.82,-3.66,-0.21999999999999886,2.59,3.780000000000001,10.280000000000001,-12.28
NL200,2FAT2BTRUE,2018,1,4,11361,41524,21.41,17.35,10.13,41.85,70.08,22.02,7.9,68.41,4.68,,,,,,
NL200,2FAT2BTRUE,2019,2,4,10017,41524,22.91,18.29,9.96,46.98,66.36,26.21,7.43,63.44,8.65,1.5,0.9399999999999977,-0.16999999999999993,-3.719999999999999,-4.969999999999999,3.9700000000000006
NL200,2FAT2BTRUE,2020,3,4,15440,41524,22.11,17.99,10.21,50.22,71.63,20.57,7.79,63.91,2.84,-0.8000000000000007,-0.3000000000000007,0.25,5.269999999999996,0.46999999999999886,-5.8100000000000005
NL200,2FAT2BTRUE,2021,4,4,4706,41524,21.8,17.68,8.09,54.17,75.51,19.22,5.27,72.44,-5.6,-0.3099999999999987,-0.3099999999999987,-2.120000000000001,3.8800000000000097,8.530000000000001,-8.44
NL200,2rist84,2021,1,5,6076,51369,21.17,17.54,8.21,48.15,70.01,21.98,8.01,68.03,-0.46,,,,,,
NL200,2rist84,2022,2,5,14558,51369,20.79,16.73,9.03,46.76,69.82,22.15,8.03,66.43,10.99,-0.38000000000000256,-0.8099999999999987,0.8199999999999985,-0.19000000000001194,-1.5999999999999943,11.450000000000001
NL200,2rist84,2023,3,5,6663,51369,20.22,16.88,9.4,48.77,72.74,18.87,8.39,69.63,20.36,-0.5700000000000003,0.14999999999999858,0.370000000000001,2.9200000000000017,3.1999999999999886,9.37
NL200,2rist84,2024,4,5,10121,51369,20.31,16.84,9.39,53.57,73.34,17.8,8.86,67.26,1.79,0.08999999999999986,-0.03999999999999915,-0.009999999999999787,0.6000000000000085,-2.3699999999999903,-18.57
NL200,2rist84,2025,5,5,13951,51369,21.95,18.4,10.6,51.57,72.44,19.21,8.35,53.63,22.98,1.6400000000000006,1.5599999999999987,1.209999999999999,-0.9000000000000057,-13.630000000000003,21.19
NL200,321letitrip,2022,1,3,2598,6976,22.29,17.47,7.52,62.64,65.8,27.54,6.67,53.67,1.6,,,,,,
NL200,321letitrip,2023,2,3,657,6976,25.11,19.03,9.02,74.07,64.63,25.61,9.76,68.89,-4.32,2.8200000000000003,1.5600000000000023,1.5,-1.1700000000000017,15.219999999999999,-5.92
NL200,321letitrip,2024,3,3,3721,6976,22.6,18.19,11.09,51.59,67.16,23.52,9.32,65.91,-0.39,-2.509999999999998,-0.8399999999999999,2.0700000000000003,2.530000000000001,-2.980000000000004,3.93
NL200,4Batz4,2015,1,3,2010,5145,22.94,16.77,9.06,55.32,66.3,23.81,9.89,35.26,-5.32,,,,,,
NL200,4Batz4,2016,2,3,2273,5145,22.48,16.5,7.83,54.55,66.67,25.17,8.16,43.86,-1.71,-0.46000000000000085,-0.2699999999999996,-1.2300000000000004,0.37000000000000455,8.600000000000001,3.6100000000000003
NL200,4Batz4,2017,3,3,862,5145,24.25,17.98,7.95,57.69,66.67,28.07,5.26,68.33,14.62,1.7699999999999996,1.4800000000000004,0.1200000000000001,0.0,24.47,16.33
