dataset,year,cbet_opps,cbets,cbet_pct,flop_bettors,double_barrels,double_barrel_pct,triple_barrels,triple_barrel_pct,river_cbet_opps,river_cbets,river_cbet_pct,fold_to_cbet_opps,fold_to_cbet_count,fold_to_cbet_pct,check_raise_flop_opps,check_raise_flop_count,check_raise_flop_pct
NL200,2011,157212,90420,57.51,90420,21311,23.57,5005,23.49,97842,15605,15.95,108619,52286,48.14,118346,11334,9.58
NL200,2012,146331,84662,57.86,84662,22069,26.07,5458,24.73,75532,15599,20.65,102832,46819,45.53,91524,9307,10.17
NL200,2013,129008,73333,56.84,73333,19752,26.93,4965,25.14,65981,13941,21.13,87837,39642,45.13,81872,8067,9.85
NL200,2014,165817,90104,54.34,90104,25415,28.21,6338,24.94,84537,18557,21.95,107396,48572,45.23,101657,8715,8.57
NL200,2015,241238,123153,51.05,123153,35434,28.77,8905,25.13,126138,28786,22.82,145271,66376,45.69,147386,10522,7.14
NL200,2016,274029,135763,49.54,135763,37861,27.89,9195,24.29,145447,33439,22.99,158588,72536,45.74,170903,12234,7.16
NL200,2017,238259,123849,51.98,123849,34883,28.17,8054,23.09,126430,29288,23.17,141827,61292,43.22,151532,12089,7.98
NL200,2018,267032,140948,52.78,140948,40276,28.58,9533,23.67,143468,33374,23.26,161042,69512,43.16,178807,13886,7.77
NL200,2019,218727,120936,55.29,120936,35306,29.19,8433,23.89,119146,28980,24.32,136225,55162,40.49,142604,13412,9.41
NL200,2020,303296,171355,56.5,171355,49438,28.85,11364,22.99,164085,40608,24.75,192751,77545,40.23,203149,19093,9.4
NL200,2021,325142,181317,55.77,181317,53164,29.32,12615,23.73,177553,44879,25.28,204228,82661,40.47,213119,19380,9.09
NL200,2022,291760,161915,55.5,161915,46862,28.94,10942,23.35,159961,40765,25.48,181345,72515,39.99,187368,17674,9.43
NL200,2023,279848,160181,57.24,160181,47045,29.37,10744,22.84,152667,40097,26.26,178608,69699,39.02,176488,17899,10.14
NL200,2024,350324,200518,57.24,200518,59021,29.43,13971,23.67,198105,51884,26.19,223638,86049,38.48,217633,22361,10.27
NL200,2025,385734,216505,56.13,216505,62243,28.75,14549,23.37,224906,56542,25.14,240568,92803,38.58,236732,24030,10.15
NL50,2011,204807,115489,56.39,115489,28301,24.51,6924,24.47,124899,21460,17.18,139061,67081,48.24,170280,14061,8.26
NL50,2012,136290,77015,56.51,77015,20276,26.33,5074,25.02,71419,15127,21.18,92714,43393,46.8,94763,7972,8.41
NL50,2013,223451,123801,55.4,123801,33310,26.91,8715,26.16,117834,25456,21.6,148389,70327,47.39,160795,12712,7.91
NL50,2014,186648,100027,53.59,100027,28234,28.23,7028,24.89,96855,21036,21.72,120179,55596,46.26,120394,9476,7.87
NL50,2015,179016,93847,52.42,93847,26612,28.36,6501,24.43,93034,20423,21.95,112091,52785,47.09,117982,8276,7.01
NL50,2016,307195,156508,50.95,156508,44400,28.37,11177,25.17,161238,35400,21.96,185787,88603,47.69,208507,13542,6.49
NL50,2017,279376,141049,50.49,141049,40320,28.59,10062,24.96,149145,33095,22.19,165026,75509,45.76,184467,12259,6.65
NL50,2018,289525,149080,51.49,149080,43400,29.11,10746,24.76,155269,34837,22.44,173515,78926,45.49,194139,13175,6.79
NL50,2019,290051,153505,52.92,153505,45000,29.32,10901,24.22,157213,36032,22.92,176648,76635,43.38,194543,14926,7.67
NL50,2020,324554,170884,52.65,170884,51415,30.09,12339,24.0,177826,40977,23.04,196268,85129,43.37,225873,16725,7.4
NL50,2021,362943,195363,53.83,195363,57801,29.59,13587,23.51,200590,45766,22.82,223769,96968,43.33,260241,18788,7.22
NL50,2022,341189,185632,54.41,185632,55028,29.64,12566,22.84,188048,44560,23.7,210750,87691,41.61,226256,18048,7.98
NL50,2023,321605,176209,54.79,176209,52038,29.53,11627,22.34,175981,43080,24.48,198940,80950,40.69,210895,18176,8.62
NL50,2024,448801,245543,54.71,245543,73317,29.86,17160,23.41,249673,63643,25.49,276852,109262,39.47,280016,24592,8.78
NL50,2025,464472,256917,55.31,256917,76564,29.8,17612,23.0,260192,65979,25.36,288370,114428,39.68,294672,25891,8.79
NL5K,2011,43239,25155,58.18,25155,6546,26.02,1761,26.9,22385,5033,22.48,29964,13519,45.12,27551,2997,10.88
NL5K,2012,49077,29044,59.18,29044,7540,25.96,2042,27.08,25056,5753,22.96,34553,15383,44.52,30239,3146,10.4
NL5K,2013,65020,38169,58.7,38169,10524,27.57,2841,27.0,34037,8156,23.96,44369,19178,43.22,40884,3838,9.39
NL5K,2014,68802,38446,55.88,38446,10994,28.6,2932,26.67,36231,9187,25.36,43856,18882,43.05,43248,3183,7.36
NL5K,2015,51210,29406,57.42,29406,8005,27.22,2010,25.11,27193,6816,25.07,33019,13996,42.39,33175,2467,7.44
NL5K,2016,33254,20212,60.78,20212,5489,27.16,1276,23.25,17666,4693,26.57,22457,9020,40.17,21715,1916,8.82
NL5K,2017,41590,24821,59.68,24821,6885,27.74,1548,22.48,21822,5797,26.56,27319,10598,38.79,26779,2731,10.2
NL5K,2018,32474,19866,61.18,19866,5179,26.07,1175,22.69,16858,4653,27.6,21776,8569,39.35,20979,2304,10.98
NL5K,2019,29926,18079,60.41,18079,4936,27.3,1111,22.51,15649,4273,27.31,19967,7989,40.01,19465,2033,10.44
NL5K,2020,29235,17561,60.07,17561,4787,27.26,1104,23.06,15300,4494,29.37,19426,7760,39.95,17967,1979,11.01
NL5K,2021,6675,4157,62.28,4157,1173,28.22,276,23.53,3565,1039,29.14,4554,1672,36.71,4074,483,11.86
NL5K,2022,1984,1233,62.15,1233,361,29.28,86,23.82,1121,308,27.48,1343,472,35.15,1246,156,12.52
NL5K,2023,3604,2221,61.63,2221,610,27.47,133,21.8,2124,508,23.92,2450,958,39.1,2229,257,11.53
NL5K,2024,3812,2285,59.94,2285,607,26.56,143,23.56,2411,550,22.81,2476,949,38.33,2427,300,12.36
NL5K,2025,5869,3197,54.47,3197,785,24.55,185,23.57,3493,884,25.31,3510,1490,42.45,3389,357,10.53
