dataset,year,three_bet_opps,three_bets,three_bet_pct,four_bet_opps,four_bets,four_bet_pct,fold_to_3bet_opps,fold_to_3bet_count,fold_to_3bet_pct,call_3bet_count,call_3bet_pct,fold_to_4bet_opps,fold_to_4bet_count,fold_to_4bet_pct
NL200,2011,1356412,92181,6.8,101290,2525,2.49,93434,54144,57.95,28986,31.02,11987,3953,32.98
NL200,2012,1258516,87402,6.94,96141,2656,2.76,88215,51504,58.38,24591,27.88,15189,7037,46.33
NL200,2013,1005959,72277,7.18,82211,2489,3.03,73194,40498,55.33,22773,31.11,12828,5563,43.37
NL200,2014,1175095,86698,7.38,99133,3019,3.05,87657,45819,52.27,30499,34.79,14810,6536,44.13
NL200,2015,1524011,111643,7.33,132754,3586,2.7,113145,54670,48.32,45676,40.37,16915,7199,42.56
NL200,2016,1570181,114244,7.28,143890,3761,2.61,116168,52684,45.35,51054,43.95,16708,6713,40.18
NL200,2017,1340034,104247,7.78,135581,3807,2.81,105791,46972,44.4,47515,44.91,15523,6565,42.29
NL200,2018,1418408,109066,7.69,146517,4196,2.86,111207,48030,43.19,51180,46.02,16503,6909,41.87
NL200,2019,1190172,99120,8.33,134193,4280,3.19,100988,43163,42.74,45637,45.19,16619,6671,40.14
NL200,2020,1677924,139585,8.32,192540,6004,3.12,141767,63323,44.67,61330,43.26,23332,10087,43.23
NL200,2021,1787869,149426,8.36,205034,6170,3.01,151875,68850,45.33,64854,42.7,24519,10526,42.93
NL200,2022,1667131,143753,8.62,197786,6350,3.21,145878,69770,47.83,57653,39.52,24851,11124,44.76
NL200,2023,1655008,148322,8.96,204717,6896,3.37,150151,75099,50.02,55796,37.16,26087,11998,45.99
NL200,2024,2047661,193562,9.45,251429,8965,3.57,195922,99449,50.76,69804,35.63,35365,15603,44.12
NL200,2025,2254154,212786,9.44,272656,10077,3.7,215112,110167,51.21,75445,35.07,39180,17626,44.99
NL50,2011,1535411,88784,5.78,103434,2150,2.08,90754,46838,51.61,33567,36.99,11828,3292,27.83
NL50,2012,1012995,58111,5.74,67185,1329,1.98,59096,31803,53.82,20488,34.67,8372,3261,38.95
NL50,2013,1471227,85683,5.82,103864,2083,2.01,87501,43321,49.51,34473,39.4,12183,4576,37.56
NL50,2014,1246292,80893,6.49,96434,2154,2.23,82224,41143,50.04,31781,38.65,11817,4997,42.29
NL50,2015,1114656,71335,6.4,85991,1835,2.13,72598,34607,47.67,30084,41.44,10107,4098,40.55
NL50,2016,1795134,114595,6.38,143126,3139,2.19,117006,53584,45.8,51090,43.66,15949,6270,39.31
NL50,2017,1548520,108762,7.02,139924,3321,2.37,110970,48756,43.94,50845,45.82,15154,5883,38.82
NL50,2018,1570790,112475,7.16,149781,3720,2.48,114935,49667,43.21,53384,46.45,16024,6280,39.19
NL50,2019,1579730,119286,7.55,160423,4166,2.6,121815,52457,43.06,55903,45.89,18034,7173,39.77
NL50,2020,1677917,125069,7.45,170791,4683,2.74,127907,53653,41.95,59676,46.66,19625,7717,39.32
NL50,2021,1878984,137301,7.31,190658,4952,2.6,140643,60374,42.93,64403,45.79,21070,8329,39.53
NL50,2022,1906168,148557,7.79,207481,5971,2.88,151215,69985,46.28,62910,41.6,24498,10593,43.24
NL50,2023,1860872,152372,8.19,213900,6265,2.93,154841,76268,49.26,59202,38.23,25799,11791,45.7
NL50,2024,2527906,218273,8.63,283329,8850,3.12,221572,111321,50.24,81816,36.93,37535,17588,46.86
NL50,2025,2582936,224078,8.68,296108,9390,3.17,227718,115614,50.77,82863,36.39,38848,18090,46.57
NL5K,2011,333073,25457,7.64,29088,1053,3.62,25649,14094,54.95,8140,31.74,4530,2083,45.98
NL5K,2012,367822,29349,7.98,32936,1367,4.15,29468,16292,55.29,9299,31.56,5374,2596,48.31
NL5K,2013,424769,34049,8.02,38232,1544,4.04,34356,17684,51.47,12340,35.92,6047,2561,42.35
NL5K,2014,386050,29789,7.72,33885,1212,3.58,30091,14010,46.56,12518,41.6,4956,2008,40.52
NL5K,2015,261174,21009,8.04,25908,892,3.44,21325,8898,41.73,9962,46.72,3427,1353,39.48
NL5K,2016,171328,14542,8.49,19180,704,3.67,14743,6032,40.91,6944,47.1,2488,1038,41.72
NL5K,2017,216293,18755,8.67,25567,957,3.74,19061,8189,42.96,8400,44.07,3424,1439,42.03
NL5K,2018,175759,15069,8.57,20896,815,3.9,15300,6814,44.54,6586,43.05,2699,1195,44.28
NL5K,2019,160528,14454,9.0,19830,779,3.93,14640,6777,46.29,6055,41.36,2580,1169,45.31
NL5K,2020,166203,15532,9.35,21498,816,3.8,15682,7450,47.51,6240,39.79,2789,1270,45.54
NL5K,2021,37315,3686,9.88,5076,212,4.18,3711,1787,48.15,1454,39.18,683,309,45.24
NL5K,2022,11664,1091,9.35,1546,69,4.46,1093,563,51.51,395,36.14,191,91,47.64
NL5K,2023,23142,2147,9.28,2985,125,4.19,2137,1009,47.22,845,39.54,369,165,44.72
NL5K,2024,23291,2241,9.62,2960,129,4.36,2226,1094,49.15,864,38.81,365,162,44.38
NL5K,2025,33583,3253,9.69,4388,187,4.26,3261,1699,52.1,1198,36.74,535,241,45.05
