dataset,year,unique_players,included_hands,player_hand_instances,avg_hands_per_player
NL50,2011,28841,1382417,7385317,256.07
NL50,2012,12713,781256,4220173,331.96
NL50,2013,14521,1231938,6559786,451.74
NL50,2014,10584,1101367,5787531,546.82
NL50,2015,10038,981327,5158349,513.88
NL50,2016,16225,1496544,7944004,489.62
NL50,2017,14633,1439322,7496328,512.29
NL50,2018,15292,1429291,7448268,487.07
NL50,2019,17087,1369326,7151196,418.52
NL50,2020,13415,1412111,7455034,555.72
NL50,2021,15079,1420335,7713805,511.56
NL50,2022,13226,1503627,8111183,613.28
NL50,2023,13243,1469575,7900173,596.55
NL50,2024,11330,1400532,8089609,714.0
NL50,2025,10686,1433191,8246308,771.69
NL200,2011,19868,1136169,6037059,303.86
NL200,2012,7106,884405,4789103,673.95
NL200,2013,6787,809556,4292240,632.42
NL200,2014,7484,960386,5074307,678.02
NL200,2015,8964,1292165,6756795,753.77
NL200,2016,10624,1311926,6893525,648.86
NL200,2017,8347,1194766,6266327,750.73
NL200,2018,9091,1237445,6433855,707.72
NL200,2019,10038,994201,5216003,519.63
NL200,2020,8500,1351757,7133259,839.21
NL200,2021,9841,1353672,7260683,737.8
NL200,2022,10029,1303289,6946429,692.63
NL200,2023,8643,1296373,6855304,793.16
NL200,2024,7924,1255254,6937741,875.54
NL200,2025,7941,1380082,7577221,954.19
NL5K,2011,1806,327947,1428595,791.03
NL5K,2012,1176,328860,1453794,1236.22
NL5K,2013,1200,697612,3173367,2644.47
NL5K,2014,1057,612041,2838778,2685.69
NL5K,2015,793,442546,1934894,2439.97
NL5K,2016,738,315454,1366767,1851.99
NL5K,2017,769,309196,1377216,1790.92
NL5K,2018,723,240875,1085974,1502.04
NL5K,2019,567,168826,785753,1385.81
NL5K,2020,646,181720,845530,1308.87
NL5K,2021,384,79174,313445,816.26
NL5K,2022,260,23105,83274,320.28
NL5K,2023,312,36245,135583,434.56
NL5K,2024,353,37847,144349,408.92
NL5K,2025,261,42192,168117,644.13
