dataset,year,hands,hands_6_dealt,pct_6_dealt,included,included_6_dealt,pct_included_6
NL50,2010,1311910,744860,56.78,0,0,0
NL50,2011,1382417,736548,53.28,1382417,736548,53.28
NL50,2012,1431238,790714,55.25,781256,445042,56.96
NL50,2013,1723401,876723,50.87,1231938,670955,54.46
NL50,2014,1173823,557947,47.53,1101367,557865,50.65
NL50,2015,1046513,495920,47.39,981327,495920,50.54
NL50,2016,1502416,777611,51.76,1496544,777611,51.96
NL50,2017,1492225,687795,46.09,1439323,687795,47.79
NL50,2018,1475535,681355,46.18,1429291,681355,47.67
NL50,2019,1415210,692300,48.92,1369326,692300,50.56
NL50,2020,1412111,734986,52.05,1412111,734986,52.05
NL50,2021,1439114,839546,58.34,1420335,839546,59.11
NL50,2022,1515145,874172,57.7,1503627,874172,58.14
NL50,2023,1485056,845061,56.9,1469575,845061,57.5
NL50,2024,1400532,1199986,85.68,1400532,1199986,85.68
NL50,2025,1433191,1217526,84.95,1433191,1217526,84.95
NL200,2011,1136171,602393,53.02,1136171,602393,53.02
NL200,2012,1454698,826652,56.83,884405,519404,58.73
NL200,2013,1563078,795589,50.9,809556,435387,53.78
NL200,2014,1494295,721546,48.29,960386,504889,52.57
NL200,2015,1418655,658353,46.41,1292165,658353,50.95
NL200,2016,1312341,677299,51.61,1311926,677299,51.63
NL200,2017,1285589,628568,48.89,1194766,628568,52.61
NL200,2018,1341037,623481,46.49,1237445,623481,50.38
NL200,2019,1050796,527699,50.22,994201,527699,53.08
NL200,2020,1351757,725845,53.7,1351757,725845,53.7
NL200,2021,1370907,787656,57.46,1353672,787656,58.19
NL200,2022,1322544,750579,56.75,1303289,750579,57.59
NL200,2023,1299006,739852,56.96,1296373,739852,57.07
NL200,2024,1255254,944170,75.22,1255254,944170,75.22
NL200,2025,1380082,1035935,75.06,1380082,1035935,75.06
NL5K,2011,2563896,982467,38.32,327947,129500,39.49
NL5K,2012,1269336,508202,40.04,328860,139778,42.5
NL5K,2013,1277899,578683,45.28,697612,280615,40.23
NL5K,2014,906763,378467,41.74,612041,247753,40.48
NL5K,2015,442546,149182,33.71,442546,149182,33.71
NL5K,2016,315454,101487,32.17,315454,101487,32.17
NL5K,2017,309196,107118,34.64,309196,107118,34.64
NL5K,2018,240875,84198,34.96,240875,84198,34.96
NL5K,2019,168826,68967,40.85,168826,68967,40.85
NL5K,2020,181720,69983,38.51,181720,69983,38.51
NL5K,2021,79174,15723,19.86,79174,15723,19.86
NL5K,2022,23105,4782,20.7,23105,4782,20.7
NL5K,2023,36245,9711,26.79,36245,9711,26.79
NL5K,2024,37847,10025,26.49,37847,10025,26.49
NL5K,2025,42192,14665,34.76,42192,14665,34.76
